548.882	562.831	568.069	581.952	585.947	594.303	Depot-009	777950	Kristian Leuthold	37665424	Tuomas Paavola	32477359	Chris Fischer	1461	fluid,liquid-mineral-oil	200000	213571
549.726	563.306	573.321	582.024	589.159	600.33	Depot-031	112659321	moody01	1405156	Mike Atamanchuk	26528211	red dutton	1641	item,module-contact	64000	320
550.748	559.357	565.42	574.839	581.952	590.367	Depot-023	922848	Akitsuna	105074230	ZOP	83001725	Michael Nadeau	798	item,rocket-fuel-capsule	64000	320
550.745	558.699	564.747	572.04	579.052	587.505	Depot-022	922804	Gnapouille	23148842	Saron Grave	83002170	Diabolical Demons	744	item,rocket-oxidizer-capsule	64000	320
553.823	563.715	569.69	584.606	591.77	610.633	Depot-003	262613	0xE1	7613077	Linuxjoe™	43481796	unflyable	924	item,processing-unit	64000	320
556.453	562.925	568.176	575.483	579.676	588.964	Depot-016	778650	Sebastian Nilsson	682145	Travis Christian	686164	Alviere	1377	fluid,liquid-multi-phase-oil	200000	250404
556.872	565.484	571.474	587.805	595.219	606.157	Depot-002	262321	Max Kaneston	78056804	Teodor Norén	43461985	Ben Cross	906	item,silver-zinc-battery	64000	320
558.351	570.329	576.441	584.723	591.918	601.177	Depot-006	263904	Alexander Hrastic	69879321	Anders Skov	1239648	Rob W Jacob	978	item,electronic-components	64000	320
562.815	571.391	576.809	590.517	594.727	603.68	Depot-015	778640	Marcus Doyle	61361121	Butterfly	23062332	Craig Samson	1389	fluid,gas-ammonia	200000	284004
561.975	573.559	579.935	596.165	603.304	608.395	Depot-025	112648381	Maarten Bakker	63399314	Linuxjoe™	43481796	ZornGottes	1593	item,gold-plate	64000	320
563.999	572.342	578.548	596.29	603.443	612.788	Depot-004	262804	Kevin Hoeppner	30302725	Anders Skov	1239648	Thomas "Zaydon" Lust	942	item,basic-electronic-components	64000	320
565.885	571.172	576.563	587.24	591.224	601.331	Depot-014	778629	nobukatsu	80012404	Matthew Colwell	97098501	Wolfgang Pastl	1401	fluid,gas-methanol	200000	337145
566.023	573.864	578.037	590.682	595.617	608.11	Depot-005	262904	Cephira	67206180	Casey C. Knowlton-Key	43473692	Black Mamba 666	960	item,glass	32000	320
567.708	577.522	583.192	599.955	603.478	612.94	Depot-012	778093	Phillip Rohde	78094683	Singh Saab	23003404	Nemmie Smulan	1425	fluid,liquid-nitric-acid	200000	249637
567.053	578.038	584.558	600.043	607.062	612.872	Depot-030	112658934	Contesul	20290466	Casey C. Knowlton-Key	43473692	Lippy	1633	item,advanced-circuit	64000	320
574.276	580.207	585.793	596.804	601.16	609.954	Depot-013	778614	nobukatsu	80012404	Matthew Colwell	97098501	9Diet5Pepsi	1658	fluid,gas-methanol	200000	202665
575.347	592.571	599.241	606.979	611.557	624.629	Depot-029	112652291	Jason Elliott	82668719	Kevin "Shaymes" Bauermeister	63779205	Maudlin K. Beykhan	1625	item,high-tech-science-pack	64000	320
577.415	587.59	594.246	602.286	606.886	616.988	Depot-028	112651869	CPL Taylor	82190329	Priestress	803890	Seedykoi	1617	item,science-pack-2	64000	320
578.509	587.788	593.568	608.5	612.704	622.214	Depot-010	778034	Adragontattoo	61361501	Butterfly	23062332	Sukasa	1449	fluid,gas-ammonia	200000	200927
581.774	589.877	594.866	607.803	612.442	622.773	Depot-007	263278	사과맛TV (TV_Apple)	134688408	Wermatswil	931715	Liam Herrick	996	item,lithium-ion-battery	64000	320
581.788	594.036	600.601	615.916	622.825	628.715	Depot-026	112650902	Callum McCann	20732136	Teodor Norén	43461985	Rhodan	1601	item,electronic-circuit	64000	320
584.001	591.242	594.911	601.938	606.519	612.696	Depot-024	922863	Chralex	128312012	Tibsfox	7276095	Marco Goebel	852	item,plastic-bar	32000	320
586.155	594.912	601.352	610.194	614.83	626.036	Depot-032	112664547	Alekthefirst	82190176	Priestress	803890	The AlCaTrAzz	1649	item,science-pack-1	64000	320
586.153	596.047	602.502	614.504	619.124	630.83	Depot-027	112651317	E-Kyozyu	82668202	Serdar Akkilic	63777349	An	1609	item,logistic-science-pack	64000	320
590.429	600.879	606.354	617.47	621.067	629.476	Depot-016	778650	Phillip Rohde	78094683	Singh Saab	23003404	Alviere	1377	fluid,liquid-nitric-acid	200000	200000
596.108	606.042	618.832	629.51	636.902	650.209	Depot-017	922314	Leon Pennington	2786202	Lenni Zindrion Ström	1053263	doberlec	834	item,gold-ore	64000	320
596.109	602.803	609.007	617.249	624.093	632.588	Depot-008	263908	Heldis Anderson	64382103	Fajita Puppy	2669495	Callie Arnadottir	1232	item,angels-ore2-crushed	64000	320
598.329	608.298	614.688	622.995	630.036	640.657	Depot-001	261632	Alexander Hrastic	69879321	Anders Skov	1239648	NightFire Navy[NINA]	888	item,electronic-components	64000	320
599.434	606.635	609.953	624.089	628.698	643.742	Depot-023	922848	Chralex	128312012	Frankenfrank	1269839	Michael Nadeau	798	item,plastic-bar	32000	320
603.664	610.127	616.525	626.372	631.032	643.267	Depot-031	112659321	Jason Elliott	82668719	Kevin "Shaymes" Bauermeister	63779205	red dutton	1641	item,high-tech-science-pack	64000	320
603.663	609.134	614.667	625.008	629.301	638.95	Depot-014	778629	nobukatsu	80012404	Matthew Colwell	97098501	Wolfgang Pastl	1401	fluid,gas-methanol	200000	208754
605.829	619.573	625.791	647.488	654.577	666.246	Depot-006	263904	Putimir Vladin	4336927	Casey C. Knowlton-Key	43473692	Rob W Jacob	978	item,silver-plate	64000	320
607.198	620.644	626.735	640.211	647.226	657.318	Depot-002	262321	0xE1	7613077	Linuxjoe™	43481796	Ben Cross	906	item,processing-unit	64000	320
609.199	621.047	627.182	634.811	639.492	650.523	Depot-005	262904	d4rkpl4y3r	1405696	IdioticUlt1mara	1854759	Black Mamba 666	960	item,module-case	32000	320
613.262	621.383	628.766	634.838	642.994	652.62	Depot-018	922631	Quinlan	2771807	Sami Nieminen	2783181	Tilo Becker aka EviloKnievel	870	item,angels-ore4-crystal	32146	161
615.405	622.56	628.768	636.371	640.995	651.487	Depot-030	112658934	Mitchell Frondal	82190489	Serdar Akkilic	63777349	Lippy	1633	item,science-pack-3	64000	320
616.506	626.22	632.595	640.053	644.677	657.003	Depot-025	112648381	CPL Taylor	82190329	Priestress	803890	ZornGottes	1593	item,science-pack-2	64000	320
616.504	625.356	630.888	647.069	651.557	663.221	Depot-011	778081	Adragontattoo	61361501	Wizzle0331	78066329	Fajita Puppy	1437	fluid,gas-ammonia	200000	209804
617.574	625.285	631.582	644.799	651.807	660.403	Depot-003	262613	Callum McCann	20732136	Teodor Norén	43461985	unflyable	924	item,electronic-circuit	64000	320
619.64	625.921	631.444	639.276	643.679	650.159	Depot-012	778093	Sebastian Nilsson	682145	Travis Christian	686164	Nemmie Smulan	1425	fluid,liquid-multi-phase-oil	200000	203240
621.724	628.952	635.6	646.021	650.612	660.878	Depot-028	112651869	E-Kyozyu	82668202	Serdar Akkilic	63777349	Seedykoi	1617	item,logistic-science-pack	64000	320
622.742	630.673	637.228	658.258	665.034	673.233	Depot-004	262804	Contesul	20290466	Casey C. Knowlton-Key	43473692	Thomas "Zaydon" Lust	942	item,advanced-circuit	64000	320
625.696	633.104	639.648	649.029	653.593	663.338	Depot-029	112652291	Alekthefirst	82190176	Priestress	803890	Maudlin K. Beykhan	1625	item,science-pack-1	64000	320
626.956	635.823	642.354	651.908	658.813	667.82	Depot-007	263278	Skywishes	9200558	KillerWL	481400	Liam Herrick	996	item,angels-ore2	64000	320
